Team,Playoff Prob
Colorado Avalanche,0.9085
New York Rangers,0.9053
Boston Bruins,0.8989
Edmonton Oilers,0.8691
Florida Panthers,0.8456
Dallas Stars,0.7955
Carolina Hurricanes,0.7947
Toronto Maple Leafs,0.7561
Minnesota Wild,0.7064
Seattle Kraken,0.6929
New Jersey Devils,0.6788
Los Angeles Kings,0.6607
Vegas Golden Knights,0.6445
Buffalo Sabres,0.6202
Calgary Flames,0.6052
Tampa Bay Lightning,0.5279
Vancouver Canucks,0.5252
Winnipeg Jets,0.5161
Pittsburgh Penguins,0.5155
New York Islanders,0.4473
Detroit Red Wings,0.4348
St. Louis Blues,0.4313
Nashville Predators,0.3451
Ottawa Senators,0.2288
Arizona Coyotes,0.211
Philadelphia Flyers,0.1335
Washington Capitals,0.1103
Montreal Canadiens,0.0573
Columbus Blue Jackets,0.045
Anaheim Ducks,0.0313
Chicago Blackhawks,0.0289
San Jose Sharks,0.0283
