Team,PTS
New York Rangers,107.3124
Boston Bruins,106.2963
Colorado Avalanche,105.1511
Edmonton Oilers,103.4814
Florida Panthers,102.9351
Carolina Hurricanes,101.2859
Toronto Maple Leafs,99.3887
Dallas Stars,99.3685
New Jersey Devils,97.4048
Seattle Kraken,96.0028
Minnesota Wild,95.7869
Los Angeles Kings,94.7818
Buffalo Sabres,94.7199
Vegas Golden Knights,94.3714
Calgary Flames,92.8555
Pittsburgh Penguins,91.9339
Tampa Bay Lightning,91.8996
Vancouver Canucks,90.759
New York Islanders,89.9994
Winnipeg Jets,89.9428
Detroit Red Wings,89.2279
St. Louis Blues,87.1324
Nashville Predators,84.4716
Ottawa Senators,82.3843
Arizona Coyotes,79.3529
Philadelphia Flyers,77.8797
Washington Capitals,76.289
Montreal Canadiens,71.6394
Columbus Blue Jackets,70.4945
Anaheim Ducks,67.6341
San Jose Sharks,66.4036
Chicago Blackhawks,66.2285
